Time,Temperature (°F),,,Dew Point (°F),,,Humidity (%),,,Wind Speed (mph),,,Pressure (in),,,Precipitation (in)
Apr,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Total
1,87,72.6,55,64,38.2,21,87,36,10,15,7.4,0,29.3,29.2,29.2,0
2,89,74.7,66,68,61.2,44,87,64.4,40,16,8.1,0,29.2,29.1,28.9,0
3,92,78.7,69,70,68.5,67,93,72.8,45,20,10,3,28.9,28.9,28.8,0
4,86,78.1,71,72,68.5,67,93,73.9,53,20,12.5,6,28.8,28.8,28.7,0
5,80,73.5,64,71,46.9,22,87,48.6,15,25,14.2,6,29.2,29,28.8,0
6,67,53.3,50,49,46.6,33,93,80,28,18,13.3,6,29.3,29.2,29.2,0.63
7,55,52.5,51,53,50.1,48,96,91.1,86,16,10.2,6,29.3,29.3,29.2,0.5
8,73,60.4,53,59,54.3,51,96,81.5,59,10,5.7,0,29.3,29.3,29.2,0.5
9,69,62.5,56,60,56.5,54,93,81.3,68,7,4.5,0,29.4,29.3,29.3,0
10,73,65.2,61,61,58.7,57,90,79.8,61,12,5,0,29.4,29.3,29.3,0
11,76,65.6,57,56,53.4,50,93,67.6,43,16,6.6,0,29.4,29.3,29.3,0
12,78,65.7,52,56,49.5,47,86,59,33,12,4.5,0,29.3,29.2,29.1,0
13,79,67.2,55,57,52.4,47,89,62.1,34,17,7.5,0,29.1,29,28.9,0
14,82,70.1,64,69,63.5,55,90,80.1,58,15,8.8,6,28.9,28.9,28.8,0
15,93,74.3,62,69,57,38,90,62.6,16,18,7.1,0,29.2,29,28.9,0.21
16,77,66.8,58,43,39,34,51,37.4,22,20,9.1,0,29.4,29.3,29.2,0
17,80,66.7,52,56,43.8,38,73,46.7,24,18,9.6,0,29.3,29.2,29.1,0
18,80,71.1,66,65,62.2,57,81,73.9,60,21,12.8,6,29.1,29,28.9,0
19,80,73.5,69,67,66.5,65,93,78.7,64,21,14.5,9,29.1,29,29,0
20,88,74.9,67,71,67.8,60,93,79.5,51,28,11.7,3,29.1,29,28.9,0.01
21,82,69.8,63,65,60.6,48,97,76.5,32,15,6.7,0,29.2,29.1,29,1.57
22,78,68,59,63,58.7,54,93,73.5,53,20,9.3,0,29.1,29.1,29,0
23,68,58.8,53,57,50.5,46,87,74.5,63,20,13.4,7,29.2,29.1,29,0.35
24,69,61,54,59,53.5,48,90,77,61,13,8.1,3,29.2,29.2,29.1,0.09
25,78,68.7,62,68,63.3,59,93,83.2,66,14,8.4,3,29.1,29,28.9,0
26,85,76,70,69,67.5,66,93,75.9,56,14,11.6,9,29,28.9,28.9,0.01
27,83,71.3,63,68,57.7,49,90,65.9,31,15,8,3,29.1,29,28.9,0.13
28,81,69.9,61,67,63.9,58,93,81.7,62,15,8.5,0,29,28.9,28.9,0
